      0: global: energy port connected. master: system.energy_mgmt, slave: system.cpu
      0: system.energy_mgmt: Energy Management module initialized!
      0: system.energy_mgmt: Energy profile: ./profile/energy_prof (Time unit: 1000000 ticks)
268000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2035.73
269000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2043.3
270000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2050.87
271000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2058.44
272000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2066.02
273000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2073.59
274000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2081.16
275000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2088.73
276000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2096.3
277000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2103.87
278000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2111.45
279000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2119.02
280000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2126.59
281000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2134.16
282000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2141.73
283000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2149.3
284000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2156.87
285000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2164.45
286000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2172.02
287000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2179.59
288000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2187.16
289000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2194.73
290000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2202.3
291000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2209.87
292000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2217.45
293000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2225.02
294000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2232.59
295000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2240.16
296000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2247.73
297000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2255.3
298000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2262.87
299000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2270.45
300000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2278.02
301000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2285.59
302000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2293.16
303000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2300.73
304000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2308.3
305000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2315.88
306000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2323.45
307000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2331.02
308000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2338.59
309000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2346.16
310000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2353.73
311000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2361.3
312000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2368.88
313000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2376.45
314000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2384.02
315000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2391.59
316000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2399.16
317000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2406.73
318000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2414.3
319000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2421.88
320000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2429.45
321000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2437.02
322000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2444.59
323000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2452.16
324000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2459.73
325000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2467.31
326000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2474.88
327000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2482.45
328000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2490.02
329000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2497.59
330000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2505.16
331000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2512.73
